사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.24,6호선,2637,동묘앞,122 ,2 ,4869 ,909 ,5210 ,4091 ,10418 ,7767 ,15781 ,20574 ,13297 ,18094 ,12769 ,16234 ,15541 ,18103 ,17971 ,17993 ,18471 ,20208 ,22333 ,19892 ,24822 ,18572 ,26410 ,18446 ,25781 ,18843 ,22306 ,20754 ,13563 ,15584 ,10604 ,11117 ,8899 ,11335 ,6675 ,11239 ,3685 ,8781 ,680 ,2714 ,12 ,137 ,0 ,0 ,0 ,0 
Dec.24,6호선,2638,창신,3 ,1 ,2907 ,251 ,5000 ,2004 ,14708 ,5961 ,17005 ,5935 ,9332 ,3747 ,6187 ,3223 ,5431 ,2910 ,5526 ,3649 ,5404 ,4011 ,4584 ,3926 ,5326 ,4777 ,6220 ,5585 ,5109 ,7374 ,4883 ,9738 ,2864 ,7763 ,2614 ,5258 ,1869 ,5453 ,1198 ,5013 ,675 ,3389 ,95 ,1146 ,0 ,8 ,0 ,0 ,0 ,0 
Dec.24,6호선,2639,보문,40 ,0 ,4233 ,810 ,7951 ,4537 ,22690 ,9332 ,32557 ,19118 ,18467 ,10853 ,12108 ,8182 ,11738 ,8285 ,12544 ,8809 ,13484 ,9515 ,12587 ,9314 ,13087 ,11175 ,15319 ,13371 ,17059 ,17079 ,18182 ,25602 ,8864 ,19935 ,7163 ,12861 ,6906 ,13070 ,5412 ,13495 ,3080 ,9213 ,723 ,3280 ,1 ,36 ,0 ,0 ,0 ,0 
Dec.24,6호선,2640,안암(고대병원앞),12 ,1 ,1922 ,1435 ,3330 ,7136 ,9410 ,17540 ,13210 ,43137 ,11605 ,35594 ,14471 ,32059 ,17964 ,23482 ,19614 ,22192 ,20842 ,25266 ,25317 ,21810 ,28929 ,17198 ,37976 ,17277 ,47822 ,19539 ,35606 ,24841 ,21336 ,17443 ,20454 ,12329 ,19800 ,13297 ,18027 ,13113 ,11561 ,8841 ,2241 ,3794 ,11 ,211 ,0 ,1 ,0 ,0 
Dec.24,6호선,2641,고려대(종암),14 ,1 ,3756 ,948 ,7024 ,4873 ,19671 ,12503 ,26442 ,26222 ,14774 ,14588 ,11532 ,12792 ,12001 ,10552 ,13773 ,10472 ,14818 ,13058 ,14671 ,11538 ,15804 ,11533 ,21948 ,14505 ,25144 ,17014 ,20911 ,24848 ,10989 ,18749 ,9248 ,12734 ,10586 ,12956 ,8061 ,12452 ,3802 ,8824 ,669 ,2662 ,4 ,100 ,0 ,0 ,0 ,0 
Dec.24,6호선,2642,월곡(동덕여대),19 ,0 ,6645 ,716 ,13462 ,3745 ,39010 ,7426 ,47339 ,23927 ,24963 ,15169 ,18316 ,12726 ,17572 ,12263 ,18710 ,13576 ,18265 ,15488 ,18018 ,16414 ,17937 ,18967 ,19768 ,24106 ,22302 ,28741 ,24996 ,42662 ,12855 ,31924 ,9798 ,19623 ,7729 ,18972 ,5534 ,17172 ,2807 ,11627 ,568 ,3831 ,0 ,50 ,0 ,0 ,0 ,0 
Dec.24,6호선,2643,상월곡(한국과학기술연구원),40 ,3 ,5303 ,477 ,8682 ,2272 ,23403 ,3786 ,28783 ,12331 ,15931 ,7439 ,11384 ,6050 ,10721 ,5896 ,10842 ,6475 ,10491 ,7723 ,9217 ,7926 ,9170 ,9722 ,10081 ,11378 ,10232 ,14669 ,10058 ,19384 ,5905 ,16792 ,3559 ,10420 ,4460 ,9998 ,2587 ,10063 ,1401 ,6958 ,242 ,2292 ,1 ,15 ,0 ,0 ,0 ,0 
Dec.24,6호선,2644,돌곶이,25 ,1 ,7087 ,1528 ,14704 ,5911 ,39468 ,6399 ,44647 ,17260 ,23616 ,10699 ,16829 ,8970 ,14843 ,9449 ,16063 ,11314 ,15804 ,12626 ,14028 ,12788 ,14722 ,16351 ,16915 ,18607 ,17938 ,24435 ,15909 ,35228 ,10728 ,28016 ,7510 ,17305 ,6632 ,15877 ,4911 ,15232 ,2594 ,9676 ,705 ,3329 ,2 ,23 ,0 ,0 ,0 ,0 
Dec.24,6호선,2645,석계,1147 ,8 ,8855 ,1685 ,18953 ,5311 ,47018 ,8509 ,53682 ,14187 ,30020 ,11149 ,22511 ,10681 ,20279 ,13423 ,20482 ,15101 ,20237 ,16555 ,19172 ,17857 ,18781 ,22452 ,19523 ,29118 ,19379 ,35363 ,16351 ,52840 ,12006 ,41158 ,8679 ,25726 ,8498 ,23544 ,7395 ,21921 ,4005 ,14276 ,868 ,5089 ,12 ,52 ,0 ,0 ,0 ,0 
Dec.24,6호선,2646,태릉입구,11 ,0 ,4382 ,1073 ,6950 ,2866 ,18628 ,3399 ,22303 ,9280 ,12057 ,7352 ,9753 ,5723 ,9602 ,8643 ,9874 ,7527 ,10016 ,8253 ,9583 ,9491 ,9971 ,10377 ,10689 ,12900 ,10583 ,16347 ,10428 ,24461 ,6503 ,18121 ,5133 ,11845 ,4896 ,11546 ,3832 ,10473 ,2220 ,8367 ,491 ,4061 ,1 ,55 ,0 ,0 ,0 ,0 
Dec.24,6호선,2647,화랑대(서울여대입구),18 ,0 ,6361 ,1288 ,21320 ,4031 ,55734 ,8005 ,51526 ,15436 ,27434 ,11367 ,19034 ,8688 ,17436 ,9211 ,18738 ,9576 ,19025 ,11417 ,16685 ,10946 ,17849 ,14158 ,21356 ,17223 ,18902 ,24795 ,15239 ,35555 ,7328 ,29999 ,5541 ,19496 ,4729 ,17473 ,3835 ,17475 ,1374 ,11259 ,212 ,4333 ,4 ,65 ,0 ,0 ,0 ,0 
Dec.24,6호선,2648,봉화산(서울의료원),12 ,2 ,5768 ,965 ,15286 ,2470 ,44435 ,5452 ,39996 ,12354 ,20145 ,7339 ,15630 ,6902 ,13838 ,6916 ,14315 ,8816 ,13095 ,10338 ,11646 ,10747 ,11393 ,14270 ,12860 ,16896 ,13655 ,22164 ,11085 ,30272 ,5608 ,27574 ,4207 ,17026 ,3522 ,15477 ,3007 ,15703 ,1344 ,9254 ,231 ,3610 ,2 ,318 ,0 ,0 ,0 ,0 
Dec.24,6호선,2649,신내,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,7호선,2711,장암,0 ,0 ,2238 ,127 ,8086 ,978 ,18671 ,1284 ,11013 ,1521 ,5009 ,2066 ,2961 ,2254 ,2625 ,2982 ,3070 ,2932 ,3502 ,2099 ,3722 ,1607 ,4037 ,1775 ,3713 ,2121 ,3766 ,2926 ,3127 ,4179 ,1773 ,3173 ,1083 ,2062 ,739 ,937 ,528 ,1113 ,199 ,721 ,43 ,308 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,7호선,2712,도봉산,158 ,2 ,6226 ,1091 ,18335 ,4233 ,49564 ,7281 ,38862 ,12656 ,21178 ,13009 ,14298 ,13767 ,12981 ,12293 ,13370 ,12827 ,12671 ,13822 ,12235 ,13852 ,13219 ,16028 ,14608 ,19337 ,11450 ,24328 ,10276 ,36379 ,5015 ,36764 ,3794 ,23393 ,3096 ,19999 ,2106 ,17557 ,942 ,11953 ,168 ,5103 ,0 ,212 ,0 ,0 ,0 ,0 
Dec.24,7호선,2713,수락산,100 ,2 ,10135 ,812 ,19663 ,5300 ,45455 ,7954 ,46659 ,16812 ,30643 ,14958 ,22989 ,15767 ,21053 ,16995 ,22248 ,19106 ,22540 ,16328 ,23336 ,17813 ,23205 ,21568 ,22858 ,27008 ,20966 ,32078 ,18719 ,42332 ,11733 ,39952 ,9073 ,25889 ,7275 ,21211 ,4623 ,19285 ,2404 ,12351 ,367 ,4818 ,0 ,33 ,0 ,0 ,0 ,0 
Dec.24,7호선,2714,마들,14 ,0 ,10998 ,1322 ,25688 ,3114 ,63381 ,7771 ,61845 ,12676 ,33811 ,10893 ,25108 ,11043 ,23212 ,12375 ,24116 ,14950 ,21597 ,16621 ,19120 ,18556 ,19803 ,22763 ,18966 ,27608 ,16127 ,32406 ,13666 ,48455 ,8442 ,45259 ,5884 ,27426 ,4302 ,23804 ,3280 ,21922 ,1486 ,14024 ,223 ,4811 ,5 ,36 ,0 ,0 ,0 ,0 
Dec.24,7호선,2715,노원,40 ,3 ,7741 ,2378 ,14717 ,6345 ,37386 ,13078 ,41498 ,46178 ,29048 ,44905 ,29268 ,35152 ,33901 ,37168 ,37877 ,38287 ,39264 ,42799 ,41823 ,42446 ,46690 ,45809 ,50595 ,47852 ,49043 ,51091 ,48672 ,65775 ,33543 ,50098 ,31253 ,26700 ,24660 ,22049 ,20571 ,18905 ,9453 ,13281 ,1774 ,4275 ,12 ,45 ,0 ,0 ,0 ,0 
Dec.24,7호선,2716,중계,22 ,0 ,8810 ,2148 ,23788 ,4808 ,60290 ,15502 ,63015 ,27798 ,35513 ,15496 ,26812 ,12765 ,25113 ,15082 ,25842 ,15320 ,21661 ,16962 ,22282 ,17343 ,21419 ,20788 ,24583 ,24265 ,23260 ,31231 ,17926 ,46908 ,9966 ,43357 ,7551 ,27186 ,7862 ,24092 ,6064 ,21557 ,2795 ,13703 ,361 ,4381 ,4 ,35 ,0 ,0 ,0 ,0 
Dec.24,7호선,2717,하계,52 ,0 ,8929 ,1822 ,25757 ,6435 ,65522 ,14870 ,69671 ,27149 ,41414 ,22567 ,32706 ,18340 ,31592 ,18955 ,32450 ,23469 ,29977 ,27719 ,30144 ,25454 ,34074 ,29270 ,35618 ,33408 ,33619 ,41458 ,26018 ,60590 ,15307 ,51239 ,15316 ,31652 ,10925 ,28746 ,8550 ,27036 ,3074 ,19103 ,603 ,5846 ,0 ,29 ,0 ,0 ,0 ,0 
Dec.24,7호선,2718,공릉(서울과학기술대),6 ,0 ,6145 ,1023 ,14239 ,4295 ,36493 ,11166 ,41818 ,22039 ,23986 ,17551 ,19734 ,14128 ,19781 ,14350 ,20797 ,16752 ,21240 ,18223 ,21141 ,17649 ,23298 ,21855 ,24667 ,25729 ,24182 ,30538 ,22871 ,43288 ,14361 ,34710 ,12207 ,21006 ,11362 ,18697 ,9711 ,18421 ,5164 ,12234 ,1021 ,4348 ,2 ,37 ,0 ,0 ,0 ,0 
Dec.24,7호선,2719,태릉입구,133 ,2 ,8456 ,993 ,7346 ,4554 ,18055 ,7656 ,23951 ,18104 ,16164 ,12484 ,13568 ,10100 ,13063 ,12043 ,14185 ,10993 ,14758 ,12019 ,15177 ,12768 ,16736 ,13283 ,18772 ,15936 ,19628 ,19016 ,20417 ,23777 ,11932 ,19734 ,9364 ,13311 ,8323 ,12198 ,6320 ,11821 ,3210 ,7301 ,639 ,3681 ,7 ,1380 ,0 ,0 ,0 ,0 
Dec.24,7호선,2720,먹골,9 ,1 ,7376 ,675 ,12472 ,2942 ,32966 ,5820 ,41409 ,15171 ,25146 ,10493 ,18158 ,9636 ,16759 ,10672 ,17129 ,12647 ,16655 ,13806 ,15885 ,14711 ,15361 ,18304 ,16576 ,23094 ,16597 ,27422 ,17317 ,38216 ,11124 ,30430 ,8412 ,20292 ,6974 ,17805 ,4925 ,15815 ,2224 ,10280 ,449 ,3417 ,3 ,197 ,0 ,0 ,0 ,0 
Dec.24,7호선,2721,중화,107 ,1 ,8263 ,986 ,14808 ,5308 ,34725 ,9132 ,45186 ,21117 ,26774 ,10915 ,18095 ,10084 ,16274 ,10475 ,17301 ,12115 ,16496 ,13056 ,15140 ,14656 ,15527 ,18248 ,18419 ,22260 ,18788 ,26434 ,19383 ,37535 ,11224 ,31159 ,7873 ,20239 ,6646 ,18741 ,4797 ,17375 ,2234 ,10153 ,442 ,3870 ,5 ,145 ,0 ,0 ,0 ,0 
Dec.24,7호선,2722,상봉,420 ,7 ,11068 ,1375 ,20058 ,8000 ,52805 ,12188 ,74183 ,28190 ,39205 ,19250 ,25688 ,17804 ,24014 ,20273 ,27255 ,22304 ,27173 ,23595 ,26423 ,24632 ,28550 ,28667 ,31616 ,35503 ,34391 ,45810 ,34879 ,70411 ,23786 ,56277 ,19131 ,33866 ,18998 ,28187 ,15125 ,27608 ,8219 ,17053 ,1606 ,7822 ,11 ,139 ,0 ,0 ,0 ,0 
Dec.24,7호선,2723,면목,98 ,1 ,13027 ,836 ,22739 ,4850 ,53133 ,8797 ,67567 ,25127 ,39432 ,16415 ,27057 ,14883 ,23407 ,14740 ,24444 ,17912 ,23645 ,17650 ,21720 ,19069 ,22469 ,24669 ,24460 ,30410 ,22341 ,35639 ,21388 ,50976 ,14554 ,42664 ,9387 ,26948 ,7046 ,24003 ,5150 ,23159 ,2879 ,13344 ,523 ,4711 ,3 ,53 ,0 ,0 ,0 ,0 
Dec.24,7호선,2724,사가정,19 ,1 ,12019 ,1387 ,23416 ,7580 ,52389 ,10814 ,68847 ,25594 ,41609 ,17824 ,28686 ,16921 ,25900 ,17907 ,26996 ,20771 ,25101 ,21120 ,23814 ,23660 ,24463 ,30699 ,26145 ,36320 ,26374 ,45472 ,25251 ,65487 ,17718 ,50092 ,12956 ,31230 ,10525 ,29043 ,8238 ,25292 ,4624 ,14269 ,883 ,4842 ,11 ,36 ,0 ,0 ,0 ,0 
Dec.24,7호선,2725,용마산(용마폭포공원),10 ,0 ,4884 ,525 ,10317 ,2000 ,23094 ,3522 ,27964 ,9170 ,15739 ,5645 ,10265 ,5699 ,8952 ,5138 ,9014 ,6490 ,8697 ,6981 ,7345 ,7428 ,7437 ,10257 ,8225 ,11737 ,7890 ,14375 ,7565 ,21227 ,4554 ,16718 ,3154 ,10752 ,2518 ,10795 ,1823 ,9710 ,991 ,6367 ,216 ,2271 ,1 ,26 ,0 ,0 ,0 ,0 
Dec.24,7호선,2726,중곡,4 ,0 ,6479 ,788 ,12405 ,4284 ,29330 ,15587 ,43626 ,29305 ,28231 ,16321 ,19217 ,10819 ,17115 ,9978 ,18444 ,12016 ,16712 ,12823 ,15834 ,13713 ,15839 ,17268 ,22046 ,20678 ,22019 ,24777 ,24191 ,33648 ,12377 ,26981 ,8872 ,17668 ,7221 ,16691 ,5498 ,15094 ,2146 ,8601 ,449 ,3046 ,10 ,21 ,0 ,0 ,0 ,0 
Dec.24,7호선,2727,군자(능동),77 ,0 ,8225 ,876 ,13923 ,5635 ,34657 ,8718 ,54767 ,25106 ,37315 ,18736 ,23781 ,12787 ,20757 ,13341 ,22365 ,14067 ,22048 ,16067 ,21496 ,17509 ,22088 ,20901 ,25605 ,25182 ,30411 ,30492 ,32931 ,43770 ,21690 ,32976 ,18272 ,21503 ,17772 ,19224 ,14300 ,16738 ,7838 ,9844 ,1646 ,4114 ,6 ,89 ,0 ,5 ,0 ,0 
Dec.24,7호선,2728,어린이대공원(세종대),22 ,1 ,3228 ,888 ,7102 ,7628 ,18208 ,15998 ,31182 ,61186 ,24211 ,39960 ,17620 ,37676 ,21364 ,29386 ,21858 ,26435 ,26240 ,31359 ,28843 ,26606 ,31930 ,24338 ,41001 ,24847 ,49360 ,28395 ,47488 ,35756 ,28168 ,25138 ,23322 ,16971 ,22189 ,15702 ,19252 ,15718 ,10166 ,10903 ,2463 ,3595 ,0 ,28 ,0 ,0 ,0 ,0 
Dec.24,7호선,2729,건대입구,69 ,3 ,4105 ,1119 ,5062 ,8585 ,13070 ,20083 ,19697 ,40408 ,16101 ,31614 ,15335 ,27985 ,20314 ,25076 ,20347 ,28020 ,23021 ,29437 ,26475 ,26936 ,34625 ,27284 ,37048 ,28192 ,43534 ,34044 ,37439 ,41537 ,26481 ,26131 ,29018 ,15395 ,24886 ,13449 ,21639 ,11415 ,11376 ,6871 ,1957 ,3584 ,7 ,344 ,0 ,5 ,0 ,0 
Dec.24,7호선,2730,자양(뚝섬한강공원),2 ,0 ,4497 ,599 ,9026 ,3558 ,20593 ,6618 ,30762 ,12695 ,21347 ,9307 ,13695 ,8263 ,11879 ,9335 ,11613 ,10626 ,12367 ,12577 ,12184 ,14506 ,14427 ,16110 ,17044 ,16490 ,17329 ,20448 ,14593 ,26939 ,8652 ,19444 ,7225 ,13466 ,6325 ,13105 ,4443 ,11659 ,2210 ,6415 ,434 ,2076 ,1 ,14 ,0 ,0 ,0 ,0 
Dec.24,7호선,2731,청담,28 ,0 ,2401 ,3988 ,6405 ,31553 ,10904 ,56559 ,14725 ,130436 ,12902 ,87668 ,12705 ,35516 ,16037 ,23262 ,20720 ,23324 ,20522 ,24071 ,26212 ,21424 ,33297 ,19750 ,45446 ,20949 ,70670 ,22919 ,97455 ,21699 ,48583 ,13820 ,28787 ,10190 ,26942 ,9419 ,20412 ,7267 ,5805 ,4105 ,834 ,2803 ,7 ,9 ,0 ,15 ,0 ,0 
Dec.24,7호선,2732,강남구청,27 ,0 ,1796 ,1769 ,4051 ,15632 ,7283 ,35236 ,9946 ,101932 ,9498 ,94983 ,10060 ,42830 ,12769 ,25924 ,15169 ,23412 ,18408 ,23692 ,23389 ,21336 ,29307 ,19694 ,34779 ,19825 ,53643 ,22573 ,83260 ,22939 ,49797 ,13985 ,32668 ,9660 ,31724 ,7550 ,23153 ,6136 ,10250 ,4288 ,2025 ,2008 ,2 ,12 ,0 ,2 ,0 ,0 
Dec.24,7호선,2733,학동,10 ,0 ,1787 ,1573 ,4710 ,23741 ,8494 ,54115 ,11363 ,172559 ,11191 ,126725 ,12190 ,56002 ,15842 ,30386 ,20267 ,26632 ,24598 ,29865 ,30611 ,25435 ,38716 ,21114 ,50019 ,21952 ,89244 ,23945 ,150063 ,22063 ,70315 ,13318 ,39162 ,8292 ,34272 ,7600 ,25549 ,5762 ,10529 ,3668 ,1859 ,1279 ,0 ,8 ,0 ,0 ,0 ,0 
Dec.24,7호선,2734,논현,60 ,1 ,2809 ,1364 ,4471 ,17459 ,8596 ,38605 ,13263 ,102117 ,11912 ,87849 ,11606 ,36769 ,13844 ,25073 ,16435 ,23505 ,18214 ,25717 ,23956 ,23873 ,29641 ,22882 ,37702 ,26522 ,61434 ,33783 ,93908 ,37925 ,52622 ,20731 ,36321 ,12255 ,39104 ,9683 ,36458 ,7667 ,19737 ,5423 ,3702 ,2621 ,2 ,6 ,0 ,0 ,0 ,0 
Dec.24,7호선,2735,반포,8 ,0 ,887 ,1071 ,2897 ,15311 ,8110 ,11984 ,11884 ,18191 ,8452 ,16420 ,7045 ,11232 ,7267 ,12036 ,8824 ,10971 ,10014 ,10424 ,11186 ,10003 ,14531 ,9976 ,21918 ,10456 ,20904 ,11019 ,18522 ,11836 ,12169 ,7134 ,10136 ,5062 ,10243 ,4508 ,7442 ,4212 ,2224 ,2577 ,301 ,760 ,4 ,0 ,0 ,0 ,0 ,0 
Dec.24,7호선,2736,고속터미널,23 ,0 ,1447 ,2706 ,3357 ,22037 ,11806 ,37265 ,20803 ,48850 ,27983 ,38132 ,27832 ,33605 ,31047 ,32684 ,32840 ,28433 ,33236 ,31831 ,37096 ,28726 ,46930 ,24049 ,49901 ,25222 ,62428 ,27291 ,51352 ,27668 ,37699 ,16729 ,38458 ,10520 ,33909 ,10326 ,24903 ,6144 ,6948 ,3654 ,686 ,921 ,3 ,29 ,0 ,0 ,0 ,0 
Dec.24,7호선,2737,내방,6 ,0 ,2441 ,2124 ,7982 ,17406 ,17519 ,24592 ,26522 ,73684 ,21186 ,45270 ,16967 ,22130 ,17107 ,18126 ,18600 ,18201 ,21019 ,20099 ,22723 ,18411 ,24706 ,19374 ,32258 ,21430 ,47989 ,27719 ,64686 ,32520 ,26059 ,20855 ,20182 ,13638 ,18871 ,12264 ,13527 ,10306 ,4552 ,7032 ,835 ,3090 ,9 ,248 ,0 ,0 ,0 ,0 
Dec.24,7호선,2738,이수,23 ,1 ,4599 ,1673 ,9468 ,16715 ,26182 ,15801 ,40931 ,42415 ,29105 ,29571 ,21410 ,21237 ,21539 ,21872 ,24498 ,22848 ,25576 ,24407 ,27148 ,25168 ,30462 ,28163 ,36529 ,33209 ,40938 ,45218 ,45241 ,58582 ,28967 ,36825 ,27001 ,20967 ,30183 ,18105 ,26433 ,15459 ,13988 ,9592 ,2264 ,3201 ,18 ,94 ,0 ,0 ,0 ,0 
Dec.24,7호선,2739,남성,12 ,0 ,6136 ,863 ,14411 ,3602 ,36082 ,6169 ,52493 ,14829 ,34009 ,11602 ,22042 ,10983 ,18695 ,11950 ,18778 ,12749 ,18204 ,14236 ,16868 ,15504 ,16173 ,20278 ,17049 ,23054 ,16687 ,30041 ,14935 ,43414 ,9735 ,30543 ,7949 ,21288 ,7516 ,19050 ,5574 ,17000 ,2432 ,10784 ,486 ,3392 ,6 ,30 ,0 ,0 ,0 ,0 
Dec.24,7호선,2740,숭실대입구(살피재),41 ,0 ,5821 ,1014 ,12210 ,3929 ,35690 ,7369 ,48105 ,23395 ,31640 ,20258 ,22105 ,20750 ,21153 ,19368 ,21302 ,17699 ,23267 ,20029 ,22126 ,21060 ,22379 ,22606 ,27504 ,26710 ,29697 ,32949 ,20508 ,46000 ,13568 ,32803 ,12577 ,22361 ,12118 ,20836 ,10217 ,20583 ,5669 ,13967 ,1239 ,4523 ,4 ,35 ,0 ,0 ,0 ,0 
Dec.24,7호선,2741,상도,1 ,0 ,5574 ,1994 ,11961 ,5537 ,33604 ,8051 ,44109 ,22931 ,28781 ,17510 ,19806 ,17223 ,18583 ,15233 ,19655 ,16254 ,20178 ,16178 ,19306 ,18902 ,20370 ,19267 ,23722 ,22353 ,25140 ,29419 ,22757 ,42066 ,12872 ,29017 ,11317 ,20021 ,10823 ,18217 ,8759 ,17414 ,4822 ,11898 ,1047 ,3486 ,7 ,28 ,0 ,0 ,0 ,0 
Dec.24,7호선,2742,장승배기,9 ,1 ,5853 ,1668 ,10419 ,8178 ,26987 ,8529 ,38192 ,17884 ,24422 ,11863 ,16481 ,9804 ,14747 ,10921 ,15152 ,12088 ,15143 ,12879 ,14379 ,13543 ,14877 ,15904 ,17975 ,18455 ,18459 ,22306 ,16322 ,31171 ,8737 ,21895 ,7282 ,15315 ,6589 ,14201 ,5080 ,12892 ,2157 ,8408 ,539 ,2832 ,4 ,17 ,0 ,0 ,0 ,0 
Dec.24,7호선,2743,신대방삼거리,80 ,5 ,9918 ,681 ,18326 ,4724 ,48929 ,8706 ,73020 ,18512 ,41853 ,15398 ,25997 ,13829 ,23159 ,14494 ,24300 ,16225 ,22324 ,17968 ,21004 ,20231 ,20634 ,24651 ,23047 ,28973 ,21440 ,38895 ,21343 ,58987 ,12778 ,43410 ,10530 ,27059 ,9631 ,26444 ,7021 ,22476 ,3615 ,14928 ,718 ,5695 ,12 ,75 ,0 ,0 ,0 ,0 
Dec.24,7호선,2744,보라매,12 ,0 ,3701 ,756 ,5976 ,2742 ,16584 ,8176 ,24021 ,19283 ,15399 ,9901 ,9639 ,8343 ,8995 ,9063 ,10622 ,10557 ,10602 ,9544 ,10688 ,9786 ,11948 ,11301 ,12765 ,13123 ,14179 ,17859 ,17550 ,23731 ,9059 ,16994 ,8105 ,11157 ,7056 ,10349 ,5411 ,9428 ,2224 ,6013 ,345 ,2294 ,3 ,39 ,0 ,0 ,0 ,0 
Dec.24,7호선,2745,신풍,313 ,8 ,13945 ,1258 ,15700 ,5290 ,39020 ,11312 ,49837 ,20839 ,29612 ,13566 ,19138 ,11996 ,17200 ,11965 ,18339 ,12964 ,17693 ,14067 ,15831 ,14828 ,17234 ,18628 ,19200 ,23710 ,19343 ,31423 ,19881 ,40820 ,11708 ,29000 ,8960 ,18791 ,7711 ,18350 ,5544 ,16244 ,2510 ,9647 ,445 ,3190 ,16 ,479 ,0 ,0 ,0 ,0 
Dec.24,7호선,2746,대림(구로구청),46 ,1 ,12349 ,969 ,9158 ,4400 ,16158 ,7951 ,22810 ,18391 ,17876 ,14452 ,13608 ,20744 ,14224 ,23320 ,15814 ,18169 ,17714 ,17806 ,19612 ,17402 ,20884 ,18584 ,21941 ,21347 ,22121 ,26699 ,21225 ,24316 ,13959 ,15773 ,10951 ,11847 ,9010 ,13652 ,7371 ,11427 ,4087 ,5895 ,506 ,1604 ,13 ,42 ,0 ,2 ,0 ,0 
Dec.24,7호선,2747,남구로,187 ,1 ,18469 ,1414 ,16030 ,6725 ,28899 ,30416 ,34863 ,88277 ,24222 ,41971 ,16344 ,20234 ,15276 ,16236 ,16842 ,15084 ,16633 ,15770 ,15990 ,15257 ,18563 ,18542 ,22070 ,24667 ,43970 ,34325 ,66499 ,31989 ,28188 ,21941 ,15465 ,15835 ,11168 ,17350 ,7584 ,15185 ,3556 ,8308 ,553 ,2227 ,4 ,32 ,0 ,0 ,0 ,0 
Dec.24,7호선,2748,가산디지털단지,505 ,5 ,6772 ,4979 ,9600 ,29718 ,23274 ,136705 ,27729 ,368758 ,20515 ,212908 ,19039 ,59550 ,24371 ,37234 ,32982 ,35251 ,37923 ,36272 ,44500 ,31511 ,58143 ,28994 ,84995 ,29005 ,211595 ,31842 ,287132 ,36584 ,113250 ,25256 ,65682 ,16023 ,52176 ,13927 ,28357 ,12536 ,12305 ,8574 ,1482 ,3154 ,4 ,51 ,0 ,0 ,0 ,0 
Dec.24,7호선,2749,철산,25 ,1 ,10148 ,4166 ,30335 ,12202 ,80792 ,16772 ,81482 ,34850 ,46788 ,27276 ,34540 ,20490 ,33952 ,21654 ,34652 ,24297 ,31320 ,27319 ,29547 ,28082 ,32178 ,33834 ,37380 ,43133 ,38268 ,63284 ,37535 ,91864 ,20944 ,66669 ,19165 ,40130 ,18545 ,37689 ,15595 ,32865 ,7048 ,20910 ,1258 ,5876 ,3 ,93 ,0 ,0 ,0 ,0 
Dec.24,7호선,2750,광명사거리,191 ,1 ,18191 ,6198 ,28348 ,12312 ,75220 ,15477 ,80623 ,25715 ,44735 ,21696 ,31451 ,23423 ,30406 ,29006 ,32503 ,31635 ,33215 ,33298 ,33061 ,33791 ,34805 ,38751 ,41103 ,43960 ,39308 ,53969 ,33240 ,77160 ,22199 ,55339 ,15535 ,32709 ,12158 ,29287 ,9499 ,24469 ,4126 ,16690 ,740 ,4628 ,10 ,80 ,0 ,3 ,0 ,0 
Dec.24,7호선,2751,천왕,22 ,0 ,7670 ,1269 ,18362 ,6274 ,51549 ,9699 ,57646 ,19354 ,31431 ,8434 ,20319 ,7339 ,17292 ,8958 ,16912 ,11830 ,16425 ,13153 ,14640 ,14371 ,15161 ,18315 ,17720 ,23481 ,17084 ,31092 ,14970 ,45079 ,7271 ,35060 ,5656 ,21770 ,4091 ,19211 ,3034 ,16617 ,1340 ,11186 ,311 ,3053 ,1 ,132 ,0 ,9 ,0 ,0 
